,,,,,,,Indicadores,SUMA_NETA
MATERIAL1,FECHA,,ID CENTRO,GRUPO_ARTICULOS,NOMBRE_CENTRO,CLASE_MOVIMIENTO,UNIDAD,
1,2024-01-03,3 ene. 2024,G333,GASOLINA,,641,L60,"9,922"
1,2024-01-03,3 ene. 2024,G338,GASOLINA,,641,L60,"8,935"
1,2024-01-03,3 ene. 2024,G339,GASOLINA,,641,L60,"10,936"
1,2024-01-03,3 ene. 2024,G350,GASOLINA,,641,L60,"14,858"
1,2024-01-03,3 ene. 2024,G403,GASOLINA,,641,L60,"11,916"
1,2024-01-03,3 ene. 2024,G418,GASOLINA,,641,L60,"8,931"
1,2024-01-03,3 ene. 2024,G428,GASOLINA,,641,L60,"5,971"
1,2024-01-03,3 ene. 2024,G434,GASOLINA,,641,L60,"10,935"
1,2024-01-03,3 ene. 2024,G437,GASOLINA,,641,L60,"7,961"
1,2024-01-03,3 ene. 2024,G471,GASOLINA,,641,L60,"12,943"
1,2024-01-03,3 ene. 2024,G781,GASOLINA,,641,L60,"12,920"
1,2024-01-03,3 ene. 2024,N096,GASOLINA,,641,L60,"7,927"
1,2024-01-03,3 ene. 2024,N120,GASOLINA,,641,L60,"5,954"
1,2024-01-03,3 ene. 2024,N197,GASOLINA,,641,L60,"4,964"
1,2024-01-03,3 ene. 2024,N282,GASOLINA,,641,L60,"9,909"
1,2024-01-03,3 ene. 2024,N342,GASOLINA,,641,L60,"18,685"
1,2024-01-03,3 ene. 2024,N388,GASOLINA,,641,L60,"7,927"
1,2024-01-03,3 ene. 2024,N397,GASOLINA,,641,L60,"9,916"
1,2024-01-03,3 ene. 2024,N401,GASOLINA,,641,L60,"9,861"
1,2024-01-03,3 ene. 2024,N421,GASOLINA,,641,L60,"4,948"
1,2024-01-03,3 ene. 2024,N427,GASOLINA,,641,L60,"5,915"
1,2024-01-03,3 ene. 2024,N436,GASOLINA,,641,L60,"8,864"
1,2024-01-03,3 ene. 2024,N461,GASOLINA,,641,L60,"5,950"
1,2024-01-03,3 ene. 2024,N570,GASOLINA,,641,L60,"17,759"
1,2024-01-03,3 ene. 2024,S057,GASOLINA,,641,L60,"12,875"
1,2024-01-03,3 ene. 2024,S072,GASOLINA,,641,L60,"4,950"
1,2024-01-03,3 ene. 2024,S074,GASOLINA,,641,L60,"16,959"
1,2024-01-03,3 ene. 2024,S079,GASOLINA,,641,L60,"17,845"
1,2024-01-03,3 ene. 2024,S084,GASOLINA,,641,L60,"9,969"
1,2024-01-03,3 ene. 2024,S093,GASOLINA,,641,L60,"5,977"
1,2024-01-03,3 ene. 2024,S111,GASOLINA,,641,L60,"7,981"
1,2024-01-03,3 ene. 2024,S127,GASOLINA,,641,L60,"9,922"
1,2024-01-03,3 ene. 2024,S193,GASOLINA,,641,L60,"7,978"
1,2024-01-03,3 ene. 2024,S374,GASOLINA,,641,L60,"19,827"
1,2024-01-03,3 ene. 2024,S375,GASOLINA,,641,L60,"4,993"
1,2024-01-03,3 ene. 2024,S468,GASOLINA,,641,L60,"9,907"
1,2024-01-03,3 ene. 2024,S475,GASOLINA,,641,L60,"8,941"
1,2024-01-03,3 ene. 2024,S502,GASOLINA,,641,L60,"16,930"
1,2024-01-03,3 ene. 2024,S512,GASOLINA,,641,L60,"14,868"
1,2024-01-03,3 ene. 2024,S531,GASOLINA,,641,L60,"7,922"
1,2024-01-03,3 ene. 2024,S563,GASOLINA,,641,L60,"4,962"
1,2024-01-03,3 ene. 2024,S580,GASOLINA,,641,L60,"14,870"
1,2024-01-03,3 ene. 2024,S600,GASOLINA,,641,L60,"9,901"
1,2024-01-03,3 ene. 2024,S900,GASOLINA,,641,L60,"5,957"
1,2024-01-03,3 ene. 2024,S947,GASOLINA,,641,L60,"12,902"
1,2024-01-04,4 ene. 2024,1201,GASOLINA,E/S 40115 LA SERENA,641,L60,"42,564"
1,2024-01-04,4 ene. 2024,1205,GASOLINA,E/S 40120 CARTAGENA,641,L60,"93,329"
1,2024-01-04,4 ene. 2024,1208,GASOLINA,E/S 40128 VIÑA DEL MAR,641,L60,"291,015"
1,2024-01-04,4 ene. 2024,1210,GASOLINA,E/S 40130 QUILPUÉ,641,L60,"430,239"
1,2024-01-04,4 ene. 2024,1212,GASOLINA,E/S 40132 CONCÓN,641,L60,"173,216"
1,2024-01-04,4 ene. 2024,1215,GASOLINA,E/S 40141 SAN ANTONIO,641,L60,"215,066"
1,2024-01-04,4 ene. 2024,1216,GASOLINA,E/S 40142 PAPUDO,641,L60,"223,151"
1,2024-01-04,4 ene. 2024,C033,GASOLINA,CIA. SIDERURGICA HUACHIPATO,641,L60,"18,893"
1,2024-01-04,4 ene. 2024,C034,GASOLINA,SOQUIMICH ESTACION COYA SUR,641,L60,"8,960"
1,2024-01-04,4 ene. 2024,C037,GASOLINA,CODELCO - RADOMIRO TOMIC,641,L60,"12,918"
1,2024-01-04,4 ene. 2024,C062,GASOLINA,MINERA ANTUCOYA,641,L60,"14,877"
1,2024-01-04,4 ene. 2024,C078,GASOLINA,CODELCO - ANDINA HUECHUN,641,L60,"7,958"
1,2024-01-04,4 ene. 2024,C090,GASOLINA,SQM Puerto Tocopilla,641,L60,"4,976"
1,2024-01-04,4 ene. 2024,C096,GASOLINA,EMPORMONTT CASTRO,641,L60,"5,970"
1,2024-01-04,4 ene. 2024,C101,GASOLINA,Salar Del Carmen,641,L60,"12,889"
1,2024-01-04,4 ene. 2024,C107,GASOLINA,MICHALLIS,641,L60,"5,974"
1,2024-01-04,4 ene. 2024,C113,GASOLINA,VIÑA DEL MAR,641,L60,"18,885"
1,2024-01-04,4 ene. 2024,C144,GASOLINA,HIJUELAS,641,L60,"14,898"
1,2024-01-04,4 ene. 2024,C163,GASOLINA,SAN FELIPE,641,L60,"9,945"
1,2024-01-04,4 ene. 2024,C170,GASOLINA,E/S 40053 CABILDO,641,L60,"16,856"
1,2024-01-04,4 ene. 2024,C198,GASOLINA,E/S 40066 VALPARAÍSO,641,L60,"14,874"
1,2024-01-04,4 ene. 2024,C368,GASOLINA,E/S 40090 QUILLOTA,641,L60,"8,950"
1,2024-01-04,4 ene. 2024,C370,GASOLINA,E/S 40095 LA CALERA,641,L60,"15,910"
1,2024-01-04,4 ene. 2024,C435,GASOLINA,E/S 40105 LA SERENA,641,L60,"16,928"
1,2024-01-04,4 ene. 2024,C506,GASOLINA,,641,L60,"8,943"
1,2024-01-04,4 ene. 2024,C508,GASOLINA,,641,L60,"9,942"
1,2024-01-04,4 ene. 2024,C512,GASOLINA,,641,L60,"4,964"
1,2024-01-04,4 ene. 2024,C517,GASOLINA,,641,L60,"21,899"
1,2024-01-04,4 ene. 2024,C527,GASOLINA,,641,L60,"18,841"
1,2024-01-04,4 ene. 2024,C601,GASOLINA,,641,L60,"18,878"
1,2024-01-04,4 ene. 2024,C603,GASOLINA,,641,L60,"8,953"
1,2024-01-04,4 ene. 2024,C609,GASOLINA,,641,L60,"16,905"
1,2024-01-04,4 ene. 2024,C702,GASOLINA,,641,L60,"18,892"
1,2024-01-04,4 ene. 2024,G044,GASOLINA,,641,L60,"8,933"
1,2024-01-04,4 ene. 2024,G097,GASOLINA,,641,L60,"8,935"
1,2024-01-04,4 ene. 2024,G259,GASOLINA,,641,L60,"16,924"
1,2024-01-04,4 ene. 2024,G325,GASOLINA,,641,L60,"10,922"
1,2024-01-04,4 ene. 2024,G332,GASOLINA,,641,L60,"8,942"
1,2024-01-04,4 ene. 2024,G335,GASOLINA,,641,L60,"8,942"
1,2024-01-04,4 ene. 2024,G336,GASOLINA,,641,L60,"10,918"
1,2024-01-04,4 ene. 2024,G394,GASOLINA,,641,L60,"19,878"
1,2024-01-04,4 ene. 2024,G403,GASOLINA,,641,L60,"5,962"
